what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"24.0-b56",1382506123477
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1382506186664
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1382506186690
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1382506186727
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1382506193569
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1382506213206
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1382506213217
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1382506219001
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1382506219014
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1382506220383
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1382506222965
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1382506226584
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1382506247020
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1382506247024
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1382506249117
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1382506251439
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1382506255601
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1382506255632
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.navigate.showIn",1382506255721
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1382506257096
closed,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1382506257100
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1382506260854
